Second,Volt
-3.92799997330,0.06800,
-3.92779994011,0.02400,
-3.92759990692,0.03600,
-3.92739987373,0.05600,
-3.92719984055,0.05200,
-3.92699980736,0.05600,
-3.92680001259,0.05600,
-3.92659997940,0.06000,
-3.92639994621,0.05200,
-3.92619991302,0.04800,
-3.92599987984,0.05200,
-3.92579984665,0.04800,
-3.92559981346,0.05600,
-3.92540001869,0.05600,
-3.92519998550,0.05600,
-3.92499995232,0.05200,
-3.92479991913,0.04800,
-3.92459988594,0.04400,
-3.92439985275,0.05200,
-3.92419981956,0.05200,
-3.92399978638,0.04400,
-3.92379999161,0.04800,
-3.92359995842,0.05200,
-3.92339992523,0.05200,
-3.92319989204,0.04800,
-3.92299985886,0.04800,
-3.92279982567,0.05200,
-3.92259979248,0.05200,
-3.92239999771,0.04800,
-3.92219996452,0.05600,
-3.92199993134,0.04800,
-3.92179989815,0.07200,
-3.92159986496,0.05600,
-3.92139983177,0.04800,
-3.92119979858,0.05600,
-3.92100000381,0.05600,
-3.92079997063,0.04800,
-3.92059993744,0.04800,
-3.92039990425,0.04800,
-3.92019987106,0.05200,
-3.91999983788,0.04000,
-3.91979980469,0.03600,
-3.91960000992,0.05200,
-3.91939997673,0.06800,
-3.91919994354,0.06800,
-3.91899991035,0.06000,
-3.91879987717,0.06000,
-3.91859984398,0.05600,
-3.91839981079,0.05600,
-3.91820001602,0.05600,
-3.91799998283,0.05200,
-3.91779994965,0.05200,
-3.91759991646,0.05200,
-3.91739988327,0.05200,
-3.91719985008,0.05600,
-3.91699981689,0.04800,
-3.91679978371,0.05200,
-3.91659998894,0.04400,
-3.91639995575,0.04800,
-3.91619992256,0.04800,
-3.91599988937,0.04800,
-3.91579985619,0.05600,
-3.91559982300,0.05200,
-3.91539978981,0.05200,
-3.91519999504,0.05200,
-3.91499996185,0.04800,
-3.91479992867,0.04800,
-3.91459989548,0.05200,
-3.91439986229,0.04000,
-3.91419982910,0.04400,
-3.91399979591,0.04800,
-3.91380000114,0.05200,
-3.91359996796,0.07600,
-3.91339993477,0.06800,
-3.91319990158,0.05600,
-3.91299986839,0.04800,
-3.91279983521,0.04800,
-3.91259980202,0.04800,
-3.91240000725,0.04400,
-3.91219997406,0.05600,
-3.91199994087,0.04800,
-3.91179990768,0.04800,
-3.91159987450,0.05200,
-3.91139984131,0.05600,
-3.91119980812,0.07200,
-3.91100001335,0.07200,
-3.91079998016,0.05200,
-3.91059994698,0.04800,
-3.91039991379,0.03600,
-3.91019988060,0.04400,
-3.90999984741,0.04800,
-3.90979981422,0.04000,
-3.90960001945,0.05200,
-3.90939998627,0.05600,
-3.90919995308,0.05200,
-3.90899991989,0.05600,
-3.90879988670,0.04800,
-3.90859985352,0.04800,
-3.90839982033,0.04800,
-3.90819978714,0.04800,
-3.90799999237,0.04800,
-3.90779995918,0.04800,
-3.90759992599,0.04800,
-3.90739989281,0.04800,
-3.90719985962,0.04800,
-3.90699982643,0.05200,
-3.90679979324,0.05200,
-3.90659999847,0.04800,
-3.90639996529,0.04800,
-3.90619993210,0.05600,
-3.90599989891,0.05600,
-3.90579986572,0.05200,
-3.90559983253,0.04000,
-3.90539979935,0.04400,
-3.90520000458,0.04800,
-3.90499997139,0.04000,
-3.90479993820,0.03600,
-3.90459990501,0.04800,
-3.90439987183,0.04800,
-3.90419983864,0.04800,
-3.90399980545,0.05200,
-3.90380001068,0.05200,
-3.90359997749,0.04800,
-3.90339994431,0.06000,
-3.90319991112,0.06000,
-3.90299987793,0.04000,
-3.90279984474,0.05600,
-3.90259981155,0.04800,
-3.90240001678,0.02400,
-3.90219998360,0.04400,
-3.90199995041,0.05200,
-3.90179991722,0.05200,
-3.90159988403,0.04400,
-3.90139985085,0.04800,
-3.90119981766,0.05600,
-3.90099978447,0.04800,
-3.90079998970,0.05200,
-3.90059995651,0.05200,
-3.90039992332,0.05200,
-3.90019989014,0.04800,
-3.89999985695,0.05200,
-3.89979982376,0.05200,
-3.89959979057,0.05600,
-3.89939999580,0.05600,
-3.89919996262,0.05200,
-3.89899992943,0.05200,
-3.89879989624,0.04800,
-3.89859986305,0.04800,
-3.89839982986,0.04800,
-3.89819979668,0.05600,
-3.89800000191,0.05200,
-3.89779996872,0.05200,
-3.89759993553,0.05200,
-3.89739990234,0.04800,
-3.89719986916,0.04800,
-3.89699983597,0.04000,
-3.89679980278,0.02800,
-3.89660000801,0.04400,
-3.89639997482,0.04400,
-3.89619994164,0.05600,
-3.89599990845,0.05600,
-3.89579987526,0.05200,
-3.89559984207,0.05600,
-3.89539980888,0.04800,
-3.89520001411,0.04800,
-3.89499998093,0.04400,
-3.89479994774,0.05200,
-3.89459991455,0.04400,
-3.89439988136,0.03200,
-3.89419984818,0.03600,
-3.89399981499,0.05600,
-3.89380002022,0.07200,
-3.89359998703,0.06000,
-3.89339995384,0.05600,
-3.89319992065,0.05200,
-3.89299988747,0.04800,
-3.89279985428,0.04800,
-3.89259982109,0.04400,
-3.89239978790,0.05200,
-3.89219999313,0.04800,
-3.89199995995,0.04800,
-3.89179992676,0.05600,
-3.89159989357,0.05200,
-3.89139986038,0.04800,
-3.89119982719,0.04800,
-3.89099979401,0.04800,
-3.89079999924,0.05200,
-3.89059996605,0.05200,
-3.89039993286,0.04400,
-3.89019989967,0.05200,
-3.88999986649,0.05600,
-3.88979983330,0.05600,
-3.88959980011,0.05200,
